,name,apple_name,apple_rating_count,apple_rating,google_name,google_rating,google_rating_count
0,Evernote,Evernote - stay organized,161065,4.0,"Evernote – Organizer, Planner for Notes & Memos",4.6,1488289
1,eBay,"eBay: Best App to Buy, Sell, Save! Online Shopping",262241,4.0,eBay: Buy & Sell this Summer - Discover Deals Now!,4.4,2788460
2,Bible,Bible,985920,4.5,Bible,4.7,2440695
3,PayPal,PayPal - Send and request money safely,119487,4.0,PayPal,4.3,659760
4,Google,Google – Search made just for mobile,479440,3.5,Google,4.4,8021623
5,Facebook,Facebook,2974676,3.5,Facebook,4.1,78128208
6,Yelp,"Yelp - Nearby Restaurants, Shopping & Services",223885,4.0,"Yelp: Food, Shopping, Services Nearby",4.3,397422
7,Yahoo Sports,"Yahoo Sports - Teams, Scores, News & Highlights",137951,4.0,"Yahoo Sports - scores, stats, news, & highlights",4.5,32386
8,LinkedIn,LinkedIn,71856,3.5,LinkedIn,4.2,1225367
9,Google Earth,Google Earth,446185,3.5,Google Earth,4.3,2339098
10,PAC-MAN,PAC-MAN,508808,3.0,PAC-MAN,4.2,685450
11,The Weather Channel,"The Weather Channel: Forecast, Radar & Alerts",495626,3.5,The Weather Channel: Rain Forecast & Storm Alerts,4.4,1558437
12,OpenTable,OpenTable - Restaurant Reservations,113936,4.5,OpenTable: Restaurants Near Me,4.6,90242
13,Lose It!,Lose It! – Weight Loss Program and Calorie Counter,373835,4.0,Lose It! - Calorie Counter,4.4,69395
